fefb,f0,34e,2e2,ff99,13,fff5
ffc4,e6,342,2e6,ffa3,15,fff8
ffd9,e6,346,2e6,ffad,1d,5
b5,e2,33e,2e6,ffb6,12,ffdc
1e,e8,346,2e0,ffc0,a,ffda
136,ec,346,2e2,ffcd,9,ffd9
202,f0,346,2e0,ffcf,b,ffd9
ffee,e8,346,2ec,ffcf,11,ffe6
f1,f8,346,2e6,ffcc,1c,fff0
22e,f8,346,2e2,ffc2,1e,24
120,f8,34c,2e6,ffb3,1b,3e
aa,e6,342,2ee,ffa1,25,b
110,f0,342,2e0,ff8d,31,10
1e,e6,342,2f0,ff8e,2c,12
70,f0,346,2e0,ffc4,26,fffc
6d,ec,33e,2e6,f,31,ffed
41,e8,346,2e6,39,39,7
216,e8,340,2f0,21,3f,15
187,f0,33e,2e2,ffe0,3e,11
26d,e6,33e,2ec,ffa6,3a,38
3ba,ee,350,2e2,ff89,3b,21
2ac,e2,34e,2f0,ff97,3d,f
3a1,f6,346,2e0,ffbf,41,4
39e,f0,346,2e0,ffe4,3a,8
310,e8,346,2e2,fff4,38,15
2fa,e0,346,2f0,ffac,28,ffff
2b7,ec,346,2e0,ffa9,2e,1
ff52,f8,346,2e6,ffa9,2e,ffd9
8b,ec,33e,2e0,ffa2,2d,ffe7
fe81,e6,33e,2ee,ff90,2b,fff9
febb,e6,340,2e6,ff8c,2a,8
2,ee,342,2e2,ff9e,24,e
ff07,f0,34e,2de,ffa6,2a,7
fea6,e2,346,2e6,ffca,2f,18
fe75,e8,342,2e0,ffd6,2b,11
feac,ee,342,2e6,ffc6,2a,0
fe6a,f8,342,2e6,ffad,2a,2
ffc5,ee,342,2e6,ff8f,26,13
ff0a,ec,346,2e0,ff7c,29,1f
feff,ec,34c,2e0,ff91,2d,1f
ff40,fe,346,2e2,ffab,2c,1e
ff21,e2,34e,2ee,ffa5,30,2
ff9f,e8,34c,2e0,ffbb,2e,fffe
ff78,e0,348,2e8,ffce,2f,9
ff9d,f0,342,2e0,ffd2,2b,ffff
ffec,f2,346,2ee,ffc6,26,fffe
ffe0,fe,33e,2e6,ffb1,1e,fffa
239,e6,33e,2ec,ff80,1c,fff7
195,102,33c,2e0,ff94,17,fffd
d9,f0,34e,2e8,ffec,3a,ffee
138,e8,34e,2e0,ffeb,2d,ffdc
242,e6,34c,2f0,ffef,2b,d
1f9,f8,340,2e2,fff4,32,6
277,f8,346,2e0,ffee,3a,2
227,f2,342,2e6,ffda,3c,7
1f3,ee,348,2e0,ffc5,35,1
