e794,ff98,252,3b8,ffda,a,fff0
e992,ff82,260,3ae,ffcc,e,fff0
e8fb,ff96,262,3c0,ffbd,13,ffed
ea18,ff86,25e,3b8,ffb9,17,26
eac9,ff90,250,3c0,ffb3,f,2b
eb52,ff80,24e,3b6,ffa4,10,fffa
eb39,ff90,246,3bc,ffa2,14,fffe
ec35,ff8e,252,3c0,ff9f,1b,d
ebf1,ff80,24e,3b8,ff9d,21,17
ebca,ff80,24c,3be,ff9f,25,1e
e8b5,ff8e,252,3c6,ffa4,20,26
eb3d,ff92,24c,3bc,3a,16,ffda
eaa2,ff82,25c,3b8,ffbd,17,ffda
ea02,ff70,258,3ce,ffce,11,27
eaf8,ff88,256,3bc,ffde,b,1a
ebb7,ff98,24e,3c6,fffb,c,c
eaad,ff9e,252,3b8,13,c,fff8
ea89,ff98,25c,3bc,2d,f,ffe5
eb1e,ff70,260,3c0,3c,11,ffd9
eb1d,ff80,260,3be,ffd6,ffe0,fff0
eb44,ff96,258,3be,ffc5,fff5,fff2
ea1d,ff86,256,3b8,ffa3,fffd,fffc
e9ea,ff8e,258,3bc,ff92,fffe,4
e975,ff8e,258,3c6,ff92,fffc,4
e6f4,ff90,24e,3b8,ff8b,fff4,fff5
e655,ff8c,252,3b2,ff93,ffeb,fff1
e6d0,ff82,25c,3c2,ffa9,ffe5,fff0
e44d,ff7c,260,3c8,ff9a,2e,13
e1c5,ffa2,24e,3c0,ff97,2e,9
dd2b,ff92,25e,3c0,ff95,2a,27
dcb3,ff86,24e,3be,ff9e,2d,2d
db3d,ff9c,250,3c2,ffb0,2d,2f
d979,ff98,256,3c2,ffc8,2a,26
d7c6,ff90,252,3c0,ff84,28,22
d839,ff98,258,3c0,ff92,24,1d
d6cb,ff8e,252,3be,6,2b,ffce
d63c,ff8e,24e,3b0,16,31,ffc5
d58a,ff9e,258,3bc,22,32,fffc
d536,ff80,25c,3c6,19,2c,fff0
d4d7,ff98,258,3c6,b,28,ffe9
d4f4,ff98,258,3c6,fff2,27,ffe1
d533,ff8e,258,3be,ffe7,25,ffd8
d379,ff98,252,3c2,ffff,22,ffd4
d432,ff80,250,3b8,ffa1,31,ffef
d4aa,ff8e,24e,3c2,ffb4,32,fffd
d48e,ff90,258,3c2,ffc0,3e,ffd4
d649,ff98,250,3c0,ffd0,48,ffdb
d820,ff86,24e,3b2,ffd5,4d,ffd7
d8cd,ff8e,258,3c0,ffcb,55,ffd5
d9ca,ff76,256,3cc,ffc6,60,ffda
d9c3,ff82,258,3c0,ffc0,5c,ffe4
db21,ff92,25c,3c2,ff8f,52,1c
de2e,ff86,24e,3b0,ff80,4d,20
df91,ff80,24e,3b6,ff78,3b,7
dfdd,ff8e,258,3c0,ff70,2e,c
e17e,ff96,25c,3c0,ff67,2a,18
e2a2,ff8c,25e,3c0,ff6b,28,1b
e431,ff9c,242,3c0,ffa8,2b,1d
e55f,ff98,258,3c2,ff91,2f,21
e617,ff78,250,3c6,ffee,44,ffc2
e483,ff72,24e,3c2,ffe3,4f,ffbe
e324,ff98,252,3c2,ffe7,4f,ffc1
e20f,ff98,242,3c6,fff2,4c,ffbe
e255,ff80,25c,3c0,10,4e,ffbe
e388,ff98,25e,3c6,2e,54,ffc7
e396,ff9c,24c,3be,3f,57,ffc7
e4e1,ff8e,24e,3b2,3f,5d,ffc4
e683,ff86,240,3b2,ff1f,27,ffd8
e6c2,ff98,252,3b2,ff19,1d,ffdb
e5c2,ff8e,26e,3be,ff3a,18,8
e69b,ff86,266,3c0,ff76,18,6
e72b,ff86,260,3be,ffb4,e,ffff
e658,ff80,248,3c6,ffed,9,fff3
e5eb,ff92,250,3c0,11,7,ffe5
e4b6,ff78,258,3c6,14,8,ffd8
e436,ff86,25e,3be,2,10,ffc7
e341,ff92,258,3c6,fff6,1e,ffc0
e24b,ff8e,24e,3b0,ffe1,15,ffdb
e1a2,ff90,24e,3c0,ffd5,13,ffd5
e112,ff8e,246,3d0,ffda,14,ffce
df98,ffa0,250,3c2,ffec,14,ffd2
e06a,ff86,258,3cc,fff2,18,ffd1
e0ed,ffa2,246,3b8,fffb,21,ffcd
e250,ffa2,258,3c6,7,25,ffc1
e38e,ff80,260,3c6,a,22,ffbf
e412,ff9c,24e,3bc,28,20,ffc0
e4b1,ff8e,25c,3be,40,1c,ffc3
e538,ff8c,252,3b0,49,1d,ffbd
e69e,ff7e,260,3c6,49,29,ffbf
e779,ff8e,258,3b8,30,32,ffbc
e88c,ff8c,260,3c0,12,3c,ffbc
e989,ff8c,258,3bc,ff7f,2b,ffef
e98a,ff8e,258,3be,ff62,1e,fff1
e78d,ff80,260,3be,ff5c,12,ffd4
