ebcf,70,52,fda0
ebb0,72,4e,fda0
eaaf,58,50,fdb8
e9ab,66,4c,fdae
ea65,70,4e,fdb0
ed54,60,4c,fda2
f2f7,66,46,fda8
f99f,60,52,fdb8
0,60,4e,fdb2
52f,6c,4c,fdb0
930,70,4c,fdb2
deb,62,4e,fdae
1227,60,4c,fda6
15fa,70,46,fda6
1a2a,60,4e,fdb0
1e75,66,4e,fdb0
2266,70,4e,fdb0
2736,60,4c,fdb8
29ea,66,4c,fdb0
2b4b,60,48,fdae
2c28,72,50,fda6
2d1a,52,4e,fdb8
2de9,50,4e,fdb8
2e7d,70,46,fdae
2fcb,60,4e,fdb8
3240,66,4e,fdb0
33ff,70,50,fdac
32b5,72,3c,fdae
2a41,66,46,fda6
1707,60,4e,fdb8
faee,70,42,fdb0
dcb5,70,48,fdb0
c443,6e,4e,fdb0
b41d,70,40,fdae
ae0d,60,46,fdbc
aeec,66,4e,fda8
b587,78,50,fda2
bede,72,4e,fda0
c8bc,66,50,fdb2
d365,5e,4c,fdb0
de7e,58,52,fdbc
e686,70,46,fdae
ed91,5c,4e,fdac
f315,60,4c,fda6
f730,70,4c,fda6
f935,66,56,fdb0
fa92,70,48,fdac
fba4,50,50,fdb8
ffb6,72,48,fdac
47c,70,4e,fdb0
aea,66,4c,fdb0
1148,62,4c,fda8
188d,70,4e,fdb0
1f97,5e,50,fdb8
257b,60,4c,fdb6
2ae3,58,42,fdb0
2e7a,5e,4e,fda0
30ef,6e,48,fda6
3296,78,4e,fdb0
33f6,72,50,fda6
340d,60,4e,fdb8
33ec,70,40,fdac
34a6,58,4e,fdb6
352a,60,46,fdb8
36c1,66,4c,fda6
3888,72,50,fda6
3a3a,70,50,fdb0
3b74,5c,50,fdb8
3d11,6e,4e,fdb0
3f15,70,4c,fdae
40f7,6e,4e,fdb0
4292,6c,50,fdb0
459b,60,4c,fda6
4913,70,40,fda8
48fd,60,4e,fdb8
41fd,52,52,fdb8
2f18,70,4c,fdb2
11de,66,4e,fdb0
ede7,60,48,fdac
cda2,60,46,fdb8
b4a1,70,48,fdb2
a6ae,70,50,fdb0
a155,72,4e,fdb0
a18d,66,4c,fdb0
a5a5,60,4e,fdb0
ab51,62,46,fda6
b2cf,60,4e,fdb8
bc3c,60,4c,fdae
c5ec,60,4c,fda6
cdcb,70,4e,fda0
d3a4,60,4c,fdae
d76b,6c,4c,fdb0
da39,6c,4e,fdb0
dc7b,70,4e,fdb0
dfe4,70,3e,fda8
e4cd,70,4e,fdb0
eb18,5e,50,fdbc
f3ab,70,46,fdae
fd3f,60,4e,fdac
6a6,70,4e,fdb8
f31,6e,46,fdb0
170b,60,46,fdb8
1d23,66,4c,fdae
22ad,6e,4e,fdb2
27cb,6c,4e,fdae
2be2,4e,50,fdb8
2e93,70,50,fd9e
30c1,5e,52,fdbe
322d,60,4c,fdb2
3319,6c,4e,fdb0
33a9,60,4c,fda2
3398,4e,4e,fdae
3497,5e,48,fda6
35d3,70,3e,fdac
3761,60,52,fdb8
3956,56,4e,fdb8
3bd7,5e,4e,fdae
3e7b,6e,50,fdb0
3e79,70,4e,fdb0
37c7,70,50,fdb2
260a,70,50,fdb0
98b,66,4e,fdb0
e8f1,62,50,fdac
cc5f,66,4c,fdac
b954,70,52,fda2
b0c0,5e,52,fdb2
b10d,68,50,fdae
b83c,6e,4e,fdb0
c227,72,52,fda0
cd0d,60,50,fdb8
d84a,62,4e,fdb0
e2d8,70,50,fdb8
ecae,6e,3e,fdac
f461,66,48,fdac
fa7c,70,4e,fdb0
fcba,58,52,fdba
fc8c,66,4e,fdb0
fc38,5e,4e,fdb8
